Specified Values,Specified Attribute Names,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, R_0, R_2, R_4, R_5, R_7",1.0,0.011019529610233765,644.2590103061679,405.9041305528872,9.07575254281537e-10,1,12.333161459542595,4812,1,0.5454545454545454,0.00025555675280475776,38,80
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_2, R_0, R_1, R_2, R_3, R_4, R_5, R_6",0.0,0.2524762918481517,840.0,184.0,4.741446831686878e-08,1,16.759999999999998,2750,7,0.8181818181818182,0.0003472857459182725,6,11
"1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_3, R_4",1.0,0.33067903559865514,0.0,0.0,1.0,5,22.01862912,4892,13,0.6363636363636364,0.002281251801323686,12,43
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_1, R_3, R_5",0.0,0.09397529760008387,1000.0,0.0,1.0,2,26.26741091277367,4774,21,0.5454545454545454,0.001088579641072121,58,77
"0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, R_0, R_2, R_4, R_5, R_6, R_7",0.0,0.007452531187547063,816.9707315200001,274.0380412586666,6.470617481631904e-09,1,22.00431556608,4680,22,0.6363636363636364,0.00045595376758873193,15,40
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_1, A_2, R_1, R_3, R_4, R_5, R_6",1.0,0.010083583667854343,910.6680963155328,201.55543081590434,3.006266500710604e-08,1,24.551764265405062,4020,27,0.6363636363636364,0.0005087397235394263,27,40
"1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_1, R_2, R_3, R_5, R_6",1.0,0.02001454797049943,850.57792,267.56164266666667,7.2925721074410004e-09,1,25.032442879999998,3200,29,0.7272727272727273,0.0005186999163327774,12,21
"0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_2, R_0, R_1, R_3, R_4, R_5, R_7",0.0,0.061269581977140074,918.08,131.07199999999997,2.5849394142282147e-07,1,18.476799999999997,4760,30,0.7272727272727273,0.00038285974165768117,9,18
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_1, R_3, R_6",0.0,0.07724450317612823,1000.0,0.0,1.0,1,25.876476116858868,4240,38,0.5454545454545454,0.0005361892189725355,54,75
"0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, R_0, R_1, R_2, R_3, R_5, R_7",1.0,0.09172308623123157,1000.0,0.0,1.0,1,28.454136299520002,4209,50,0.7272727272727273,0.0005896011902887231,15,20
"1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_2, R_1, R_3, R_4, R_5, R_6, R_7",1.0,0.3114220624345211,0.0,0.0,1.0,1,18.58688,3616,52,0.7272727272727273,0.0003851407210676266,9,20
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, R_1, R_2, R_3, R_5, R_6",0.0,0.4605806380177166,1000.0,0.0,1.0,2,15.061414256898212,3605,63,0.6363636363636364,0.0006241783394738663,21,38
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, R_0, R_1, R_3, R_4, R_5, R_6, R_7",0.0,0.07025961600706972,0.0,0.0,1.0,1,25.5,4968,76,0.8181818181818182,0.0005283882172384218,2,10
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_2, R_1, R_2, R_3, R_4, R_7",0.0,0.010961098712952274,136.6074570892137,262.0232820774838,8.096560933438067e-09,1,20.953254063352112,4953,84,0.5454545454545454,0.00043417461019130743,29,80
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_3, R_4, R_5",0.0,0.002417841480922664,822.3192417032308,298.6191009588255,4.211260258527505e-09,1,28.5249704893449,4989,89,0.5454545454545454,0.014714255395485282,36,79
"1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_4",0.0,0.8026619009183026,0.0,0.0,1.0,19,31.21281607740272,4981,93,0.36363636363636365,0.012288517670606347,74,305
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_1, R_2, R_3, R_4, R_6",0.0,0.12349611066444054,1000.0,0.0,1.0,2,25.65520105865216,4774,98,0.7272727272727273,0.00106320830982545,18,20
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, R_0, R_2, R_5, R_6, R_7",0.0,0.007500117636467262,416.84071350272006,428.43898869623473,6.92715766427106e-10,1,23.238526298030077,4868,101,0.6363636363636364,0.00048152797968095267,18,41
"1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_1, R_2, R_4, R_6",0.0,0.05474428287764926,1000.0,0.0,1.0,1,29.681505385499115,4999,102,0.6363636363636364,0.0006150336359057448,23,39
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, R_0, R_3, R_4, R_5, R_7",1.0,0.11704397781841924,0.0,0.0,1.0,1,22.89152,4728,110,0.6363636363636364,0.00047433762520304615,9,37
"1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_3, R_6",0.0,0.12406874247840849,0.0,0.0,1.0,1,31.538965306122897,4921,118,0.45454545454545453,0.0006535222608488907,33,156
"1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_2, R_5, R_6, R_7",0.0,0.34463242347373974,0.0,0.0,1.0,2,22.848,3651,119,0.6363636363636364,0.0009468716852912518,8,35
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_2, R_1, R_2, R_3, R_4, R_5, R_6",0.0,0.04318541875891074,918.08,157.01333333333335,1.0478939476342116e-07,1,19.27232,4557,133,0.7272727272727273,0.0003993437963469953,9,22
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, R_0, R_2, R_5, R_7",1.0,0.18934694124969909,1000.0,0.0,1.0,2,26.135508979886417,4209,135,0.5454545454545454,0.0010831133330588979,54,76
